,population,gdp,carbon_intensity_elec,electricity_demand,electricity_generation,fossil_electricity,fossil_share_elec,greenhouse_gas_emissions,net_elec_imports,per_capita_electricity,renewables_electricity,gdp_per_capita,clusters,cluster
156,8556168.0,50107478016.0,510.493,21.86,20.49,17.76,86.676,10.46,1.37,2394.764,2.73,5856.298989921656,0,pink
157,8656243.0,64019197952.0,501.99,21.3,20.1,17.12,85.174,10.09,1.2,2322.023,2.98,7395.725599662579,0,pink
158,8763353.0,87026458624.0,522.401,23.21,22.32,19.83,88.844,11.66,0.89,2546.97,2.49,9930.726130055473,0,pink
159,8878408.0,109944000000.0,521.55,20.41,20.65,18.31,88.668,10.77,-0.24,2325.867,2.34,12383.30115038642,0,pink
160,8999697.0,123130000000.0,524.694,19.85,20.45,18.24,89.193,10.73,-0.6,2272.299,2.21,13681.57172402582,0,pink
161,9119630.0,136020000000.0,505.599,17.59,17.86,15.57,87.178,9.03,-0.27,1958.413,2.29,14915.07879157378,0,pink
162,9237203.0,144296000000.0,470.423,17.39,17.75,14.34,80.789,8.35,-0.36,1921.577,3.41,15621.178835195024,0,pink
163,9359018.0,145979000000.0,500.0,18.54,19.22,16.57,86.212,9.61,-0.68,2053.634,2.65,15597.68343217205,0,pink
164,9485577.0,149144000000.0,530.415,21.16,21.7,19.9,91.705,11.51,-0.54,2287.684,1.8,15723.239608934702,0,pink
165,9614478.0,157789000000.0,530.186,21.66,22.03,20.56,93.327,11.68,-0.37,2291.336,1.47,16411.603417263006,0,pink
166,9741879.0,162216000000.0,536.021,22.95,23.32,22.03,94.468,12.5,-0.37,2393.789,1.29,16651.407803361137,0,pink
167,9863485.0,163997000000.0,528.35,23.12,23.28,21.66,93.041,12.3,-0.16,2360.221,1.62,16626.679109868368,0,pink
168,9976254.0,157812000000.0,520.153,22.59,23.57,21.57,91.515,12.26,-0.98,2362.61,2.0,15818.763235178254,0,pink
169,10071569.0,158055000000.0,523.955,21.79,22.96,21.17,92.204,12.03,-1.17,2279.684,1.79,15693.185441116471,0,pink
170,10152524.0,160426000000.0,523.51,22.51,23.82,21.95,92.149,12.47,-1.31,2346.215,1.87,15801.587861304242,0,pink
171,711446.0,11416501248.0,490.015,13.02,13.02,13.02,100.0,6.38,0.0,18300.758,0.0,16046.897794070104,0,pink
172,730263.0,12778555392.0,489.811,13.74,13.74,13.74,100.0,6.73,0.0,18815.139,0.0,17498.56612206835,0,pink
173,748332.0,14457704448.0,490.237,14.34,14.34,14.34,100.0,7.03,0.0,19162.617,0.0,19319.90673658216,0,pink
174,778260.0,16810481664.0,489.837,14.76,14.76,14.76,100.0,7.23,0.0,18965.385,0.0,21600.0843728317,0,pink
175,833454.0,19587602432.0,490.119,15.18,15.18,15.18,100.0,7.44,0.0,18213.363,0.0,23501.71986936292,0,pink
176,901928.0,22640009216.0,490.11,18.2,18.2,18.2,100.0,8.92,0.0,20178.994,0.0,25101.7921785331,0,pink
